id,value,feed_id,created_at,lat,lon,ele
0F9H8T506CTRR82MSRKJJK1NRP,365,1378012,2023-04-21 03:02:33 UTC,0,0,0
0F9H8T79E3DY4P9HCVGCHRTZ4Z,365,1378012,2023-04-21 03:02:41 UTC,0,0,0
0F9H8TBVFBFCSEMGRKVE3XRRFF,359,1378012,2023-04-21 03:02:55 UTC,0,0,0
0F9H8TGF9MHCKDB1M95K4MN7EZ,360,1378012,2023-04-21 03:03:11 UTC,0,0,0
0F9H8TN3CVC2XEHZNX9RBWZQ4V,247,1378012,2023-04-21 03:03:26 UTC,0,0,0
0F9H8TSKDA3QMDDVR9K9P5EA0K,262,1378012,2023-04-21 03:03:41 UTC,0,0,0
0F9H8TY78JYD6MC7APX6565RM2,257,1378012,2023-04-21 03:03:56 UTC,0,0,0
0F9H8V2SAPDB5CJ2C2KQ5QPKN8,268,1378012,2023-04-21 03:04:11 UTC,0,0,0
0F9H8V7D9JJPKQ7WBFEYG4GPQ0,273,1378012,2023-04-21 03:04:26 UTC,0,0,0
0F9H8VBZBS3CE5SFPMBGKA6A06,276,1378012,2023-04-21 03:04:41 UTC,0,0,0
0F9H8VGJA2QPFBKWY7WVZGXWDF,279,1378012,2023-04-21 03:04:56 UTC,0,0,0
0F9H8VN3902PQDV6QBK1BY73QP,281,1378012,2023-04-21 03:05:11 UTC,0,0,0
0F9H8VSQHNHQVZDZHM1NJCX715,282,1378012,2023-04-21 03:05:26 UTC,0,0,0
0F9H8VY9C93445TGD9DM5FZJHP,275,1378012,2023-04-21 03:05:41 UTC,0,0,0
0F9H8W2VBX3ZCQGAZFA6EJYM0H,289,1378012,2023-04-21 03:05:56 UTC,0,0,0
0F9H8W7FH9294XC9KPKCTC8VF6,297,1378012,2023-04-21 03:06:11 UTC,0,0,0
0F9H8WC1AHRHQRCCVECP8ET0M5,299,1378012,2023-04-21 03:06:26 UTC,0,0,0
0F9H8WGK8YH29G7EBXHJ5BNWPC,300,1378012,2023-04-21 03:06:41 UTC,0,0,0
0F9H8WN5AW289GH8GVC7X7VJCF,301,1378012,2023-04-21 03:06:56 UTC,0,0,0
0F9H8WSQ9X28HNFEX1ZGFSX433,302,1378012,2023-04-21 03:07:11 UTC,0,0,0
0F9H8WYBMZXXSASGZHYRQ52FEY,304,1378012,2023-04-21 03:07:26 UTC,0,0,0
0F9H8X2WE07WAY1VDV3M5YW2K2,304,1378012,2023-04-21 03:07:41 UTC,0,0,0
0F9H8X7F7Z74DWVPZHVZMP4TX6,305,1378012,2023-04-21 03:07:56 UTC,0,0,0
0F9H8XC3C7VMP0C5EZ5Z8056K1,306,1378012,2023-04-21 03:08:11 UTC,0,0,0
0F9H8XGMZ2PTJ8THA5A4CRH9V7,307,1378012,2023-04-21 03:08:26 UTC,0,0,0
0F9H8XN7AWRNYYGWN4PARPJHAF,307,1378012,2023-04-21 03:08:41 UTC,0,0,0
0F9H8XSS9VNB12NC22AJN11WKD,308,1378012,2023-04-21 03:08:56 UTC,0,0,0
0F9H8XYBDW888TG5573GN5YYDC,308,1378012,2023-04-21 03:09:11 UTC,0,0,0
0F9H8Y2Z8R2J8FY6N12Q6H0JDG,308,1378012,2023-04-21 03:09:26 UTC,0,0,0
0F9H8Y7H8QEV2JKKNRJKBZBS5M,309,1378012,2023-04-21 03:09:41 UTC,0,0,0
0F9H8YC3RDK40SR2H7ZW7GWRV3,309,1378012,2023-04-21 03:09:56 UTC,0,0,0
0F9H8YGQAK19AWW64A2P5QN4M0,309,1378012,2023-04-21 03:10:11 UTC,0,0,0
0F9H8YN84MF8CGP4X19DSD7HWE,310,1378012,2023-04-21 03:10:26 UTC,0,0,0
0F9H8YSVFRTNE6RZHBCEWWY1FB,310,1378012,2023-04-21 03:10:41 UTC,0,0,0
0F9H8YYFDVVH1DEACWN4195T56,310,1378012,2023-04-21 03:10:56 UTC,0,0,0
0F9H8Z2ZT2P08G78KF2P11654V,311,1378012,2023-04-21 03:11:11 UTC,0,0,0
0F9H8Z7K9YTP3NF9H8876YM4XC,311,1378012,2023-04-21 03:11:26 UTC,0,0,0
0F9H8ZC7DTTZA1PPVGH51QFNG2,312,1378012,2023-04-21 03:11:41 UTC,0,0,0
0F9H8ZGRB47P9TY1BQE8XPHJM2,312,1378012,2023-04-21 03:11:56 UTC,0,0,0
0F9H8ZNBSJGWS642K4ZTAH2HTF,312,1378012,2023-04-21 03:12:11 UTC,0,0,0
0F9H8ZSX93BCRA7ZD1NSTZET8T,313,1378012,2023-04-21 03:12:26 UTC,0,0,0
0F9H8ZYHZGRJTZXAZ1VV5HRW0F,203,1378012,2023-04-21 03:12:41 UTC,0,0,0
0F9H9035QHYQ8MAAABE3EZK6H3,257,1378012,2023-04-21 03:12:56 UTC,0,0,0
0F9H905DAZGTRGTEZJGQVXQZ0Y,259,1378012,2023-04-21 03:13:04 UTC,0,0,0
0F9H906S9179HNRM8YYGJW6R03,262,1378012,2023-04-21 03:13:08 UTC,0,0,0
0F9K0G6YVYDMW43W66P989XARZ,241,1378012,2023-04-23 06:56:56 UTC,0,0,0
0F9K0G99HDQ776CTAR2PB3ZTT6,240,1378012,2023-04-23 06:57:03 UTC,0,0,0
0F9K0GDVG3JDHB2NZRPQ3V339D,249,1378012,2023-04-23 06:57:18 UTC,0,0,0
0F9K0GJFDM3SX8HXMCH0ZRBYSM,250,1378012,2023-04-23 06:57:33 UTC,0,0,0
0F9K0GQ18XY89HM93BBQA7AEVJ,252,1378012,2023-04-23 06:57:48 UTC,0,0,0
0F9K0GVKNABBMVDQ297AXKBMWS,255,1378012,2023-04-23 06:58:03 UTC,0,0,0
0F9K0H07GPG5NQKV38A3BYQED6,258,1378012,2023-04-23 06:58:19 UTC,0,0,0
0F9K0H4R856850MK3HZNQPXEM1,241,1378012,2023-04-23 06:58:33 UTC,0,0,0
0F9K0H9G9WWJP25268W2R1V8G0,245,1378012,2023-04-23 06:58:49 UTC,0,0,0
0F9K0HDXMFZKHGGZC1HGXC14S2,248,1378012,2023-04-23 06:59:03 UTC,0,0,0
0F9K0HJG90TQAS75YKBAPKDEBW,207,1378012,2023-04-23 06:59:18 UTC,0,0,0
0F9K0HQ2BVX17Z691M8K5QV2Z9,210,1378012,2023-04-23 06:59:33 UTC,0,0,0
0F9K0HVVV4CVFFS4NAWSJWVXZR,258,1378012,2023-04-23 06:59:49 UTC,0,0,0
0F9K0J8CJFGST2CY5J5BMBE9M4,233,1378012,2023-04-23 07:00:30 UTC,0,0,0
0F9K82JTPRDWBNF6N780XNG55R,312,1378012,2023-04-23 14:00:30 UTC,0,0,0
0F9K82JTS0WKF9EDNBB8H8R98C,322,1378012,2023-04-23 14:00:30 UTC,0,0,0
0F9K82PP6SHKM780E2695KD9FZ,322,1378012,2023-04-23 14:00:43 UTC,0,0,0
0F9K82V83ZWW14RKQWVHXE3Q36,280,1378012,2023-04-23 14:00:58 UTC,0,0,0
0F9K82ZT46DSW2K654GJVRBHHY,282,1378012,2023-04-23 14:01:13 UTC,0,0,0
0F9K834C24P8WZWWVD9G5EKWPW,288,1378012,2023-04-23 14:01:28 UTC,0,0,0
0F9K838YYZ506YTFE5N4JDTGX2,289,1378012,2023-04-23 14:01:43 UTC,0,0,0
0F9K83DME5Q5E973J24DNRWY7P,290,1378012,2023-04-23 14:01:58 UTC,0,0,0
0F9K83E82J4PE2T6RBPE713P4E,291,1378012,2023-04-23 14:02:00 UTC,0,0,0
0F9K83HJ6Z8PZXA1EHRB0C9PTM,290,1378012,2023-04-23 14:02:11 UTC,0,0,0
