id,value,feed_id,created_at,lat,lon,ele
0F9K0HVRHDQFGJXKTWJ29WQ5M8,224,1378010,2023-04-23 06:59:49 UTC,0,0,0
0F9K0J0R7Z67WYZF0B0S0AR3PH,197,1378010,2023-04-23 07:00:05 UTC,0,0,0
0F9K0J5A14ZHZXQ0XGZ0VMQA4D,197,1378010,2023-04-23 07:00:20 UTC,0,0,0
0F9K0J6TF67FY2P9AFEFH9BTD2,211,1378010,2023-04-23 07:00:25 UTC,0,0,0
0F9K0J8CF0W7HH3EKV1SAVK60H,220,1378010,2023-04-23 07:00:30 UTC,0,0,0
0F9K0JAR9A68BVDYZHW4R4AWK4,226,1378010,2023-04-23 07:00:38 UTC,0,0,0
0F9K0JNAFG6K59VA9H5DSA70WR,238,1378010,2023-04-23 07:01:12 UTC,0,0,0
0F9K0JPFWMRZ674ZZ870HNWS6M,238,1378010,2023-04-23 07:01:16 UTC,0,0,0
0F9K0JV44T62ZZ2NM8NEGWNJMJ,197,1378010,2023-04-23 07:01:31 UTC,0,0,0
0F9K0JW20555J005ECDGE871WQ,209,1378010,2023-04-23 07:01:35 UTC,0,0,0
0F9K82JTQ2EKGMY1VXTDYSVX1Z,303,1378010,2023-04-23 14:00:30 UTC,0,0,0
0F9K82JTS7PE8KYSF0SZW92KX5,295,1378010,2023-04-23 14:00:30 UTC,0,0,0
0F9K82PP5D6HKVJ6JV1KG25664,303,1378010,2023-04-23 14:00:43 UTC,0,0,0
0F9K82V888HP8AR62NF0DRMJQG,265,1378010,2023-04-23 14:00:58 UTC,0,0,0
0F9K82ZT468ZDNHWXWC5RZ7NDK,257,1378010,2023-04-23 14:01:13 UTC,0,0,0
0F9K834C6STGHT6TGF15JPXTQ2,265,1378010,2023-04-23 14:01:28 UTC,0,0,0
0F9K838YZJF9QP0CS6FTWJC06Z,265,1378010,2023-04-23 14:01:43 UTC,0,0,0
0F9K83DMB36M52YP1TR6VF0NFV,267,1378010,2023-04-23 14:01:58 UTC,0,0,0
0F9K83E82RXG22GZ4EBVVTKWP4,261,1378010,2023-04-23 14:02:00 UTC,0,0,0
0F9K83HJFPWHMY1EM2YFT6PW9G,263,1378010,2023-04-23 14:02:11 UTC,0,0,0
0F9K83N687HGG8VA4SARBQPYKW,281,1378010,2023-04-23 14:02:23 UTC,0,0,0
0F9K83SR2N0QTP3QV547Q69NP8,282,1378010,2023-04-23 14:02:38 UTC,0,0,0
0F9K83TEESGQ9HFFAVJVJ4GY9Z,280,1378010,2023-04-23 14:02:40 UTC,0,0,0
0F9K83X62SG916RW56YQ0XRC91,299,1378010,2023-04-23 14:02:49 UTC,0,0,0
0F9K843WE88K5TNQ6HC6FYGWQ6,305,1378010,2023-04-23 14:03:11 UTC,0,0,0
0F9K848G1D2SWQ9B7HXMMCA7C1,306,1378010,2023-04-23 14:03:26 UTC,0,0,0
0F9K84AEGSRSZ1QRJW3FR57JYA,307,1378010,2023-04-23 14:03:32 UTC,0,0,0
0F9K84EY1XPY3ZEV0F4FFD98XA,309,1378010,2023-04-23 14:03:47 UTC,0,0,0
0F9K84KADFQMT3T84E7JTGWBPS,320,1378010,2023-04-23 14:04:01 UTC,0,0,0
0F9K84QE6VZCA146BXBD0SGAGN,303,1378010,2023-04-23 14:04:15 UTC,0,0,0
0F9K84VR5S26FQ12W6M0HXAV1Y,303,1378010,2023-04-23 14:04:29 UTC,0,0,0
0F9K850C4GRNWPV6YA7KZ0VMBE,318,1378010,2023-04-23 14:04:44 UTC,0,0,0
0F9K85506G5FZWWK895Q9JMTPF,317,1378010,2023-04-23 14:04:59 UTC,0,0,0
0F9K859J9QA6EFFQWV956EC34T,317,1378010,2023-04-23 14:05:14 UTC,0,0,0
0F9K85A7FCQBKFQJ10AYCT7PWA,324,1378010,2023-04-23 14:05:17 UTC,0,0,0
0F9K85EWGTBMA904M98QSSREDD,324,1378010,2023-04-23 14:05:32 UTC,0,0,0
0F9K85GCC91XQ6F1P0WWTYB15Q,328,1378010,2023-04-23 14:05:37 UTC,0,0,0
0F9K85JG8963NYBD3RRX8S43MB,329,1378010,2023-04-23 14:05:44 UTC,0,0,0
0F9K85NC5MB95HYTK2WP2JNJMV,329,1378010,2023-04-23 14:05:53 UTC,0,0,0
0F9KTZHAX2G4GXYQPMY04W8PWY,234,1378010,2023-04-24 07:37:44 UTC,0,0,0
0F9KTZKMNXSK8TAMYHNAQ88QXJ,234,1378010,2023-04-24 07:37:52 UTC,0,0,0
0F9KTZR7E7HABYNW6SJXPD02ZR,255,1378010,2023-04-24 07:38:07 UTC,0,0,0
0F9KTZS4CBCYQBWPQXW2T60KRT,280,1378010,2023-04-24 07:38:10 UTC,0,0,0
0F9KTZXTCAZD7GN64YFFS78W5R,189,1378010,2023-04-24 07:38:25 UTC,0,0,0
0F9KV01YWC39G4BERD59KXGK0Z,195,1378010,2023-04-24 07:38:39 UTC,0,0,0
0F9KV04JBGSSVC70SA1R524PNC,220,1378010,2023-04-24 07:38:47 UTC,0,0,0
0F9KV058CJJ6J255R7CD67AF0E,222,1378010,2023-04-24 07:38:49 UTC,0,0,0
0F9KV0JEBGVCP4Q07YXMK4TM2N,223,1378010,2023-04-24 07:39:33 UTC,0,0,0
0F9KV0Q2GMFMJBE977BK8AY67D,235,1378010,2023-04-24 07:39:48 UTC,0,0,0
0F9KV0VMCNP5XE8YVSHYNRXE1V,240,1378010,2023-04-24 07:40:03 UTC,0,0,0
0F9KV108FBVRG56GAYN1K51H6B,243,1378010,2023-04-24 07:40:18 UTC,0,0,0
0F9KV14TBRV8EV1RPNGKTTKAAP,245,1378010,2023-04-24 07:40:33 UTC,0,0,0
