id,value,feed_id,created_at,lat,lon,ele
0F9H8T505D9ZETKDDGC45SMGXT,108,1378011,2023-04-21 03:02:33 UTC,0,0,0
0F9H8T7AS7523Z0Z364XD01MK0,107,1378011,2023-04-21 03:02:41 UTC,0,0,0
0F9H8TBVAH8DWRPKV390H98JFZ,113,1378011,2023-04-21 03:02:55 UTC,0,0,0
0F9H8TGF9HTNFBHZRV7DRG1GJQ,116,1378011,2023-04-21 03:03:11 UTC,0,0,0
0F9H8TN3CH9N5NAF3PNCTFYG78,57,1378011,2023-04-21 03:03:26 UTC,0,0,0
0F9H8TSKCDVV9DFJ4ARFXH0BZ4,65,1378011,2023-04-21 03:03:41 UTC,0,0,0
0F9H8TY780P4AJNN9DZFF2B5HZ,74,1378011,2023-04-21 03:03:56 UTC,0,0,0
0F9H8V2SASQ79DCNJZBWRGBFER,67,1378011,2023-04-21 03:04:11 UTC,0,0,0
0F9H8V7DQ90PAVBCZQD1TBCZYG,66,1378011,2023-04-21 03:04:26 UTC,0,0,0
0F9H8VBZAG7VGX4CYMX898A8T2,70,1378011,2023-04-21 03:04:41 UTC,0,0,0
0F9H8VGJ9FAV91PRD6SVM83NZC,72,1378011,2023-04-21 03:04:56 UTC,0,0,0
0F9H8VN3AFM3A8XMFN0FCFW04J,80,1378011,2023-04-21 03:05:11 UTC,0,0,0
0F9H8VSQMVDRZE6QRJBQSK5FH5,81,1378011,2023-04-21 03:05:26 UTC,0,0,0
0F9H8VY9CXB7XN00GYZCVYYS7F,64,1378011,2023-04-21 03:05:41 UTC,0,0,0
0F9H8W2V908AFVG1D4E74HFG9F,59,1378011,2023-04-21 03:05:56 UTC,0,0,0
0F9H8W7FK24ZBZ2MNQQRFBCT4X,65,1378011,2023-04-21 03:06:11 UTC,0,0,0
0F9H8WC1BJTV0ZCAKDTQE3FTA5,66,1378011,2023-04-21 03:06:26 UTC,0,0,0
0F9H8WGK9B4FC8HKAH75RZPZZC,66,1378011,2023-04-21 03:06:41 UTC,0,0,0
0F9H8WN5A3NX0BGV7A54F49Z3R,68,1378011,2023-04-21 03:06:56 UTC,0,0,0
0F9H8WSQABKFMQJM6HEK12DAVW,64,1378011,2023-04-21 03:07:11 UTC,0,0,0
0F9H8WYBQVD9958VYB75NFVCVH,67,1378011,2023-04-21 03:07:26 UTC,0,0,0
0F9H8X2WC5BDHP5A4TXE29XXH4,68,1378011,2023-04-21 03:07:41 UTC,0,0,0
0F9H8X7F8X3GRB92XNC90XSED7,69,1378011,2023-04-21 03:07:56 UTC,0,0,0
0F9H8XC3DKQ453PHM2F2MMGHYE,69,1378011,2023-04-21 03:08:11 UTC,0,0,0
0F9H8XGN0N38ZQ31ZSNTXZZG7X,71,1378011,2023-04-21 03:08:26 UTC,0,0,0
0F9H8XN7BFNTK88NCBBREFHM3H,52,1378011,2023-04-21 03:08:41 UTC,0,0,0
0F9H8XSS92DWKYJP66Z7AP6X80,62,1378011,2023-04-21 03:08:56 UTC,0,0,0
0F9H8XYBATXZEH8MQKRBY8QD9N,60,1378011,2023-04-21 03:09:11 UTC,0,0,0
0F9H8Y2Z875JWRC02R80T3GNQ1,70,1378011,2023-04-21 03:09:26 UTC,0,0,0
0F9H8Y7H8CHKK7VXZ90PH9MADY,71,1378011,2023-04-21 03:09:41 UTC,0,0,0
0F9H8YC3R8WQXASJ2RV0PEMQRR,71,1378011,2023-04-21 03:09:56 UTC,0,0,0
0F9H8YGQ8NV7DX55D8M1BHFR4S,70,1378011,2023-04-21 03:10:11 UTC,0,0,0
0F9H8YN86K2MRFHTVA6E17PRG5,71,1378011,2023-04-21 03:10:26 UTC,0,0,0
0F9H8YSVFKV0YKNHRC3Y1A7DWJ,71,1378011,2023-04-21 03:10:41 UTC,0,0,0
