id,value,feed_id,created_at,lat,lon,ele
0F9H8T506NZ126MBA4XX3QMC2H,212,1378013,2023-04-21 03:02:33 UTC,0,0,0
0F9H8T79DT1P9S5V6R9AEPQVJ3,213,1378013,2023-04-21 03:02:41 UTC,0,0,0
0F9H8TBV9SK417KFAVNYVN4HEX,192,1378013,2023-04-21 03:02:55 UTC,0,0,0
0F9H8TGF9WQVB5SY63TMW6PQQG,207,1378013,2023-04-21 03:03:11 UTC,0,0,0
0F9H8TN3J24NZH2XH5S8B1TMQZ,164,1378013,2023-04-21 03:03:26 UTC,0,0,0
0F9H8TSKDNW2GZEBF8W3FMSJN2,176,1378013,2023-04-21 03:03:41 UTC,0,0,0
0F9H8TY7A25X0WSV9MRG73X7XB,180,1378013,2023-04-21 03:03:56 UTC,0,0,0
0F9H8V2SB59HAARCYPNP00N9WV,191,1378013,2023-04-21 03:04:11 UTC,0,0,0
0F9H8V7DB26GMM0W2F6TX1GMCC,197,1378013,2023-04-21 03:04:26 UTC,0,0,0
0F9H8VBZCNW9MWNTDPM5PAG224,200,1378013,2023-04-21 03:04:41 UTC,0,0,0
0F9H8VGJBKC7EETEYTF4FVK16A,202,1378013,2023-04-21 03:04:56 UTC,0,0,0
0F9H8VN3F4RPWD0N139PJ6FYJV,203,1378013,2023-04-21 03:05:11 UTC,0,0,0
0F9H8VSQPBWYV5PPZGX7V9RW31,205,1378013,2023-04-21 03:05:26 UTC,0,0,0
0F9H8VY9D3JJNZYAAX47KENY12,202,1378013,2023-04-21 03:05:41 UTC,0,0,0
0F9H8W2V99VARMJT10ZNW3NSG5,155,1378013,2023-04-21 03:05:56 UTC,0,0,0
0F9H8W7FH3JSZ2F23VET10E7AV,166,1378013,2023-04-21 03:06:11 UTC,0,0,0
0F9H8WC1C2RT25DXZDEF3MPFJ4,173,1378013,2023-04-21 03:06:26 UTC,0,0,0
0F9H8WGK9D4116NQWSKDCX9FG9,176,1378013,2023-04-21 03:06:41 UTC,0,0,0
0F9H8WN59V0H5W986ZJBWBX6XC,179,1378013,2023-04-21 03:06:56 UTC,0,0,0
0F9H8WSQA2FM52KKPVNG369HRB,182,1378013,2023-04-21 03:07:11 UTC,0,0,0
0F9H8WYBS0WPBF78KA77SEGS02,184,1378013,2023-04-21 03:07:26 UTC,0,0,0
0F9H8X2WBN3JDT652N13C6KB65,180,1378013,2023-04-21 03:07:41 UTC,0,0,0
0F9H8X7F7RFBKP1JWTB7RV5PC6,186,1378013,2023-04-21 03:07:56 UTC,0,0,0
0F9H8XC3CPB1265WYR4DK42YTD,187,1378013,2023-04-21 03:08:11 UTC,0,0,0
0F9H8XGN37PKAS91MPRB4YD12T,188,1378013,2023-04-21 03:08:26 UTC,0,0,0
0F9H8XN7BDRSWVT9NPXSGVFCE0,188,1378013,2023-04-21 03:08:41 UTC,0,0,0
0F9H8XSS9H21SVQ3Y3TT4YMHBA,190,1378013,2023-04-21 03:08:56 UTC,0,0,0
0F9H8XYBBMSRTHERVE2EAC9ZJB,191,1378013,2023-04-21 03:09:11 UTC,0,0,0
0F9H8Y2Z8P4G3ZX1KBKTQQ831H,191,1378013,2023-04-21 03:09:26 UTC,0,0,0
0F9H8Y7H9K552J1B0X2NZ35QWE,192,1378013,2023-04-21 03:09:41 UTC,0,0,0
0F9H8YC3S9QZTDSEQ33219ZQ01,193,1378013,2023-04-21 03:09:56 UTC,0,0,0
0F9H8YGQ9R6PY38355912NS993,194,1378013,2023-04-21 03:10:11 UTC,0,0,0
0F9H8YN85N1N2JXA6C83F3GF78,194,1378013,2023-04-21 03:10:26 UTC,0,0,0
0F9H8YSVGV50CYCRYED8KH82BD,195,1378013,2023-04-21 03:10:41 UTC,0,0,0
0F9H8YYFF0A3ANFBSPSFJ7WFV2,196,1378013,2023-04-21 03:10:56 UTC,0,0,0
